"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"21.11.2025","48,210","49,500","49,540","47,320","885,01K","-3,43%"
"20.11.2025","49,920","51,350","52,100","49,800","1,05M","-2,27%"
"19.11.2025","51,080","49,210","51,150","48,680","1,12M","2,28%"
"18.11.2025","49,940","48,250","50,400","47,710","964,37K","1,86%"
"17.11.2025","49,030","49,050","49,840","48,530","745,47K","0,39%"
"14.11.2025","48,840","47,510","50,190","47,000","1,14M","2,71%"
"13.11.2025","47,550","50,000","50,000","47,330","1,41M","-3,96%"
"12.11.2025","49,510","52,410","52,650","49,480","1,94M","-2,65%"
"11.11.2025","50,860","49,720","51,370","49,260","1,82M","3,58%"
"10.11.2025","49,100","49,055","49,550","47,710","899,12K","2,08%"
"07.11.2025","48,100","48,100","48,830","46,910","993,69K","-0,43%"
"06.11.2025","48,310","49,230","49,300","47,910","561,60K","-0,56%"
"05.11.2025","48,580","49,820","49,820","48,475","1,04M","0,00%"
"04.11.2025","48,580","47,670","49,220","46,690","1,09M","-1,02%"
"03.11.2025","49,080","49,980","50,540","47,835","1,54M","1,30%"
"31.10.2025","48,450","47,980","49,650","47,370","1,52M","2,67%"
"30.10.2025","47,190","48,210","48,400","47,020","1,06M","-2,58%"
"29.10.2025","48,440","47,835","49,485","47,176","2,13M","1,98%"
"28.10.2025","47,500","47,000","48,390","46,630","2,14M","0,00%"
"27.10.2025","47,500","49,500","50,780","46,735","8,09M","18,66%"
"24.10.2025","40,030","40,000","41,000","39,283","2,10M","0,73%"
"23.10.2025","39,740","37,240","39,750","36,570","3,79M","11,47%"
"22.10.2025","35,650","35,020","36,020","34,600","1,40M","1,80%"
"21.10.2025","35,020","35,430","36,500","34,860","864,28K","-0,40%"
"20.10.2025","35,160","35,660","36,380","35,000","710,45K","-0,73%"
"17.10.2025","35,420","35,290","36,035","35,070","634,71K","-0,59%"
"16.10.2025","35,630","36,100","36,390","35,040","708,97K","-0,86%"
"15.10.2025","35,940","35,690","36,950","35,100","1,21M","2,16%"
"14.10.2025","35,180","37,250","38,710","34,990","2,12M","-7,79%"
"13.10.2025","38,150","37,300","38,359","37,250","1,09M","2,66%"
"10.10.2025","37,160","38,060","38,520","36,706","3,10M","-0,30%"
"09.10.2025","37,270","34,960","37,660","34,960","1,78M","6,88%"
"08.10.2025","34,870","34,750","35,010","33,900","873,73K","1,04%"
"07.10.2025","34,510","35,970","35,970","34,260","1,03M","-2,82%"
"06.10.2025","35,510","35,000","35,800","34,363","896,52K","2,84%"
"03.10.2025","34,530","34,320","35,520","34,290","1,23M","0,67%"
"02.10.2025","34,300","34,000","34,780","33,450","2,25M","1,75%"
"01.10.2025","33,710","34,100","34,522","33,680","1,27M","-2,01%"
"30.09.2025","34,400","35,200","35,200","33,720","1,50M","-2,82%"
